Delegacion,l_Poisson,p-value P,l_Poisson truncada,Diario,Cada tercer día,Dos veces por semana,Una vez por semana,De vez en cuando
Alvaro Obregón,0.353352693,0.006829426,0.4100238,174864,9826,2018,2079,2358
Azcapotzalco,0.277239354,0.009023372,0.2662086,110737,3334,2662,419,301
Benito Juárez,0.126704953,0.003777381,0.1288708,132232,2822,440,67,521
Coyoacán,0.495765702,0.009352405,0.5352198,159879,12252,4336,851,2956
Cuajimalpa,0.84754522,0.01910514,1.119303,30477,3771,2831,1453,879
Cuauhtémoc,0.104833897,0.003229099,0.1246416,165640,3118,528,186,743
Gustavo A. Madero,0.277480522,0.005103643,0.3216589,292173,19235,2265,1120,939
Iztacalco,0.15462894,0.006195078,0.20447,95031,3548,606,54,404
Iztapalapa,2.05651074,0.01155106,1.945977,286600,57505,28440,39342,37718
La Magdalena Contreras,0.73284314,0.01895354,0.9895737,46042,8452,3009,824,652
Milpa Alta,2.72335423,0.04619838,3.214142,9242,9480,3746,2016,1982
Miguel Hidalgo,0.062605121,0.003420483,0.05642848,117028,1168,40,61,207
Tlahuac,1.29047494,0.01840159,1.129975,66279,13509,3163,1339,2955
Tlalpan,1.77334486,0.01479999,2.494783,81417,22681,20199,18518,11025
Venustiano Carranza,0.14945322,0.005093352,0.1414958,113092,2666,320,30,581
Xochimilco,1.44901859,0.01586496,1.658789,"60,626",20371,5341,3573,3616
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
