,<700,700-800,800-900,900-1000,1000-1110
0-5,0.115449915,0.619694397,0.172750424,0.076400679,0.015704584
5-10,0.016376319,0.087902303,0.024504272,0.01083727,0.002227661
10-15,0.005584262,0.029974349,0.008355863,0.003695468,0.000759624
15-30,0.007341109,0.039404481,0.010984674,0.004858087,0.000998607
30-45,0.001694102,0.009093342,0.002534925,0.001121097,0.000230448
45-60,0.000125489,0.000673581,0.000187772,8.30E-05,1.71E-05
60-75,6.27E-05,0.00033679,9.39E-05,4.15E-05,8.54E-06
75-90,0.000125489,0.000673581,0.000187772,8.30E-05,1.71E-05
90-120,0.001066657,0.005725437,0.001596064,0.000705876,0.000145097
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
